reportDate,targetPrice,stockCode,hiddenOpinion,reportTitle,analystName,surfaceOpinion,firmName
2022-06-14,500000,373220,0.7106848955154419,차세대 배터리 주도권을 위한 신호,구성중,Buy,DS투자증권
2022-07-08,480000,011070,0.16290532052516937,나 홀로 즐거운 2분기,권태우,Buy,DS투자증권
2022-07-08,220000,009150,0.13948795199394226,더 이상 물러설 곳이 없다,권태우,Buy,DS투자증권
2022-07-22,170000,003670,0.9766870737075806,2Q22 리뷰  배터리 소재 매출 추정치 상향,구성중,Buy,DS투자증권
2022-07-28,530000,373220,0.9776490330696106,2Q22 리뷰  계획대로 되고 있어,구성중,Buy,DS투자증권
2022-07-28,220000,009150,0.16791462898254395,진통의 끝자락이 보인다,권태우,Buy,DS투자증권
2022-07-28,480000,011070,0.3062225878238678,하반기도 믿어보자,권태우,Buy,DS투자증권
2022-07-29,170000,003670,0.43694841861724854,양극재 13조원 수주 공시의 함의,구성중,Buy,DS투자증권
2022-08-01,800000,006400,0.9534616470336914,하반기 중대형 마진 5% 기대,구성중,Buy,DS투자증권
2022-08-05,100000,035720,0.9549272656440735,공급이 수요를 창출한다,구성중,Buy,DS투자증권
2022-08-08,330000,035420,0.06853517889976501,절반의 성장과 비용 효율화,구성중,Buy,DS투자증권
2022-08-17,380000,066970,0.9804075360298157,국내공장 생산으로만 2024년 PER 14배,구성중,Buy,DS투자증권
2022-08-30,530000,373220,0.9666962027549744,GM에 이어 혼다와 미국에서 JV 발표,구성중,Buy,DS투자증권
2022-10-11,600000,373220,0.9798792600631714,3Q22 매출액 QoQ 51% 성장,구성중,Buy,DS투자증권
2022-10-11,270000,035420,0.08631746470928192,인수보다 궁금한 것은 네이버의 미래 방향성,구성중,Buy,DS투자증권
2022-10-14,130000,000150,0.8844906091690063,협동 로봇으로 글로벌 로봇 시장 개척,미검출,Buy,DS투자증권
2022-10-18,70000,035720,0.027709588408470154,단기실적보다 우려되는 것은 중장기 성장둔화와 비용,구성중,Buy,DS투자증권
2022-10-25,230000,003670,0.9777435064315796,프리미엄의 타당성을 보여주는 중,구성중,Buy,DS투자증권
2022-10-26,50000,055550,0.9769694805145264,견고한 이익 체력 보유 중,나민욱,Buy,DS투자증권
2022-10-26,50000,055550,0.9769694805145264,견고한 이익 체력 보유 중,김수현,Buy,DS투자증권
2022-10-27,16000,316140,0.6722226142883301,남은 과제는 연말 자본비율 방어,나민욱,Buy,DS투자증권
2022-10-27,16000,316140,0.6722226142883301,남은 과제는 연말 자본비율 방어,김수현,Buy,DS투자증권
2022-10-27,160000,009150,0.13721919059753418,달라진 기초체력에 주목,권태우,Buy,DS투자증권
2022-10-27,600000,373220,0.9529808163642883,북미 소재 메탈의 현지화 정상 진행중,구성중,Buy,DS투자증권
